6000
Load data
RNN type: UNI Grammar: g1 Seed: 1
Model total parameters: 3780
Saving hinit ... 

Epoch:0 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:1 Cost:70.5005 Pre:0.0000 Re:0.0000 Acc:0.5000 F1:0.0000
Epoch:0 Len:2 Cost:7.9062 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:3 Cost:11.1035 Pre:0.0000 Re:0.0000 Acc:0.7500 F1:0.0000
Epoch:0 Len:4 Cost:8.7476 Pre:0.5000 Re:1.0000 Acc:0.9375 F1:0.6667
Epoch:0 Len:5 Cost:5.2366 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:6 Cost:2.9899 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:7 Cost:1.1864 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:8 Cost:3.6802 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:9 Cost:1.8919 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:10 Cost:0.8821 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:0 Len:11 Cost:0.8273 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:0 Len:12 Cost:0.7973 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:0 Len:13 Cost:0.3800 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:0 Len:16 Cost:0.3497 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:0 Len:19 Cost:0.5278 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:0 Len:22 Cost:0.3919 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000

--------------------------------------------------------------------
Eval results: Cost:1.3516 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
--------------------------------------------------------------------

Epoch:1 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:1 Cost:29.7890 Pre:0.0000 Re:0.0000 Acc:0.5000 F1:0.0000
Epoch:1 Len:2 Cost:9.9699 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:3 Cost:1.2851 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:4 Cost:1.7473 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:5 Cost:2.5570 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:6 Cost:1.0615 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:7 Cost:0.7040 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:8 Cost:1.3476 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:9 Cost:0.6368 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:10 Cost:0.6095 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:1 Len:11 Cost:0.2572 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:1 Len:12 Cost:0.2181 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:1 Len:13 Cost:0.3396 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:1 Len:16 Cost:0.1943 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:1 Len:19 Cost:0.1918 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:1 Len:22 Cost:0.0575 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:1 Cost:10.8530 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:2 Cost:0.8746 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:3 Cost:1.1103 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:4 Cost:1.0922 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:5 Cost:0.6613 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:6 Cost:0.8787 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:7 Cost:0.5366 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:8 Cost:0.4472 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:9 Cost:0.2319 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:10 Cost:0.2606 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:2 Len:11 Cost:0.0648 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:12 Cost:0.1328 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:13 Cost:0.0942 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:16 Cost:0.0546 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:19 Cost:0.0587 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:2 Len:22 Cost:0.0540 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:3 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:1 Cost:3.1137 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:2 Cost:2.0669 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:3 Cost:3.0886 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:4 Cost:0.8512 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:5 Cost:0.6661 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:3 Len:6 Cost:0.6390 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
